u,v,weight
0,6,1
0,1,1
0,12,1
1,7,1
1,2,1
1,12,2
2,8,1
2,3,1
2,12,1
3,9,1
3,4,1
3,12,2
4,10,1
4,5,1
4,12,1
5,11,1
5,12,2
6,7,1
7,8,1
8,9,1
9,10,1
10,11,1
