,Chain Length,Labels,Edges,Graph AdjList
0,5,"{'z': 1, 'v1_1': 8, 'v1_2': 6, 'v2_1': 14, 'v1_3': 5, 'v2_2': 14, 'v1_4': 3, 'v2_3': 12, 'v1_5': 2, 'v2_4': 9, 'v2_5': 14, 'v3_1': 5, 'v3_2': 13, 'v3_3': 12, 'v3_4': 1, 'v3_5': 1}","{3, 4, 5, 6, 7, 8, 9, 11, 14, 27, 10, 2, 12, 13, 15, 26, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28}","{'z': ['v1_1', 'v1_2', 'v1_3', 'v1_4', 'v1_5'], 'v1_1': ['z', 'v1_2', 'v2_1'], 'v1_2': ['v1_1', 'z', 'v1_3', 'v2_2'], 'v2_1': ['v1_1', 'v2_2', 'v3_1'], 'v1_3': ['v1_2', 'z', 'v1_4', 'v2_3'], 'v2_2': ['v1_2', 'v2_1', 'v2_3', 'v3_2'], 'v1_4': ['v1_3', 'z', 'v1_5', 'v2_4'], 'v2_3': ['v1_3', 'v2_2', 'v2_4', 'v3_3'], 'v1_5': ['v1_4', 'z', 'v2_5'], 'v2_4': ['v1_4', 'v2_3', 'v2_5', 'v3_4'], 'v2_5': ['v1_5', 'v2_4', 'v3_5'], 'v3_1': ['v2_1', 'v3_2'], 'v3_2': ['v2_2', 'v3_1', 'v3_3'], 'v3_3': ['v2_3', 'v3_2', 'v3_4'], 'v3_4': ['v2_4', 'v3_3', 'v3_5'], 'v3_5': ['v2_5', 'v3_4']}"
1,6,"{'z': 1, 'v1_1': 11, 'v1_2': 6, 'v2_1': 10, 'v1_3': 5, 'v2_2': 14, 'v1_4': 3, 'v2_3': 17, 'v1_5': 2, 'v2_4': 16, 'v1_6': 8, 'v2_5': 11, 'v2_6': 15, 'v3_1': 15, 'v3_2': 1, 'v3_3': 1, 'v3_4': 13, 'v3_5': 17, 'v3_6': 17}","{3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 17, 2, 26, 28, 14, 15, 16, 29, 18, 19, 20, 21, 23, 30, 24, 25, 34, 32, 31, 33, 22}","{'z': ['v1_1', 'v1_2', 'v1_3', 'v1_4', 'v1_5', 'v1_6'], 'v1_1': ['z', 'v1_2', 'v2_1'], 'v1_2': ['v1_1', 'z', 'v1_3', 'v2_2'], 'v2_1': ['v1_1', 'v2_2', 'v3_1'], 'v1_3': ['v1_2', 'z', 'v1_4', 'v2_3'], 'v2_2': ['v1_2', 'v2_1', 'v2_3', 'v3_2'], 'v1_4': ['v1_3', 'z', 'v1_5', 'v2_4'], 'v2_3': ['v1_3', 'v2_2', 'v2_4', 'v3_3'], 'v1_5': ['v1_4', 'z', 'v1_6', 'v2_5'], 'v2_4': ['v1_4', 'v2_3', 'v2_5', 'v3_4'], 'v1_6': ['v1_5', 'z', 'v2_6'], 'v2_5': ['v1_5', 'v2_4', 'v2_6', 'v3_5'], 'v2_6': ['v1_6', 'v2_5', 'v3_6'], 'v3_1': ['v2_1', 'v3_2'], 'v3_2': ['v2_2', 'v3_1', 'v3_3'], 'v3_3': ['v2_3', 'v3_2', 'v3_4'], 'v3_4': ['v2_4', 'v3_3', 'v3_5'], 'v3_5': ['v2_5', 'v3_4', 'v3_6'], 'v3_6': ['v2_6', 'v3_5']}"
2,7,"{'z': 1, 'v1_1': 11, 'v1_2': 10, 'v2_1': 12, 'v1_3': 5, 'v2_2': 20, 'v1_4': 3, 'v2_3': 20, 'v1_5': 2, 'v2_4': 13, 'v1_6': 8, 'v2_5': 11, 'v1_7': 6, 'v2_6': 18, 'v2_7': 16, 'v3_1': 8, 'v3_2': 19, 'v3_3': 18, 'v3_4': 18, 'v3_5': 17, 'v3_6': 1, 'v3_7': 1}","{3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 27, 2, 31, 21, 28, 17, 24, 26, 18, 29, 19, 20, 22, 23, 30, 25, 39, 37, 38, 35, 36, 34, 32, 33, 40}","{'z': ['v1_1', 'v1_2', 'v1_3', 'v1_4', 'v1_5', 'v1_6', 'v1_7'], 'v1_1': ['z', 'v1_2', 'v2_1'], 'v1_2': ['v1_1', 'z', 'v1_3', 'v2_2'], 'v2_1': ['v1_1', 'v2_2', 'v3_1'], 'v1_3': ['v1_2', 'z', 'v1_4', 'v2_3'], 'v2_2': ['v1_2', 'v2_1', 'v2_3', 'v3_2'], 'v1_4': ['v1_3', 'z', 'v1_5', 'v2_4'], 'v2_3': ['v1_3', 'v2_2', 'v2_4', 'v3_3'], 'v1_5': ['v1_4', 'z', 'v1_6', 'v2_5'], 'v2_4': ['v1_4', 'v2_3', 'v2_5', 'v3_4'], 'v1_6': ['v1_5', 'z', 'v1_7', 'v2_6'], 'v2_5': ['v1_5', 'v2_4', 'v2_6', 'v3_5'], 'v1_7': ['v1_6', 'z', 'v2_7'], 'v2_6': ['v1_6', 'v2_5', 'v2_7', 'v3_6'], 'v2_7': ['v1_7', 'v2_6', 'v3_7'], 'v3_1': ['v2_1', 'v3_2'], 'v3_2': ['v2_2', 'v3_1', 'v3_3'], 'v3_3': ['v2_3', 'v3_2', 'v3_4'], 'v3_4': ['v2_4', 'v3_3', 'v3_5'], 'v3_5': ['v2_5', 'v3_4', 'v3_6'], 'v3_6': ['v2_6', 'v3_5', 'v3_7'], 'v3_7': ['v2_7', 'v3_6']}"
3,8,"{'z': 1, 'v1_1': 11, 'v1_2': 12, 'v2_1': 20, 'v1_3': 5, 'v2_2': 23, 'v1_4': 3, 'v2_3': 14, 'v1_5': 2, 'v2_4': 15, 'v1_6': 8, 'v2_5': 13, 'v1_7': 6, 'v2_6': 19, 'v1_8': 10, 'v2_7': 20, 'v2_8': 20, 'v3_1': 22, 'v3_2': 22, 'v3_3': 11, 'v3_4': 23, 'v3_5': 23, 'v3_6': 1, 'v3_7': 1, 'v3_8': 21}","{3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 31, 23, 26, 20, 28, 29, 21, 22, 30, 24, 25, 33, 37, 41, 38, 39, 40, 27, 42, 32, 34, 35, 36, 43, 44, 45, 46}","{'z': ['v1_1', 'v1_2', 'v1_3', 'v1_4', 'v1_5', 'v1_6', 'v1_7', 'v1_8'], 'v1_1': ['z', 'v1_2', 'v2_1'], 'v1_2': ['v1_1', 'z', 'v1_3', 'v2_2'], 'v2_1': ['v1_1', 'v2_2', 'v3_1'], 'v1_3': ['v1_2', 'z', 'v1_4', 'v2_3'], 'v2_2': ['v1_2', 'v2_1', 'v2_3', 'v3_2'], 'v1_4': ['v1_3', 'z', 'v1_5', 'v2_4'], 'v2_3': ['v1_3', 'v2_2', 'v2_4', 'v3_3'], 'v1_5': ['v1_4', 'z', 'v1_6', 'v2_5'], 'v2_4': ['v1_4', 'v2_3', 'v2_5', 'v3_4'], 'v1_6': ['v1_5', 'z', 'v1_7', 'v2_6'], 'v2_5': ['v1_5', 'v2_4', 'v2_6', 'v3_5'], 'v1_7': ['v1_6', 'z', 'v1_8', 'v2_7'], 'v2_6': ['v1_6', 'v2_5', 'v2_7', 'v3_6'], 'v1_8': ['v1_7', 'z', 'v2_8'], 'v2_7': ['v1_7', 'v2_6', 'v2_8', 'v3_7'], 'v2_8': ['v1_8', 'v2_7', 'v3_8'], 'v3_1': ['v2_1', 'v3_2'], 'v3_2': ['v2_2', 'v3_1', 'v3_3'], 'v3_3': ['v2_3', 'v3_2', 'v3_4'], 'v3_4': ['v2_4', 'v3_3', 'v3_5'], 'v3_5': ['v2_5', 'v3_4', 'v3_6'], 'v3_6': ['v2_6', 'v3_5', 'v3_7'], 'v3_7': ['v2_7', 'v3_6', 'v3_8'], 'v3_8': ['v2_8', 'v3_7']}"
4,9,"{'z': 1, 'v1_1': 11, 'v1_2': 12, 'v2_1': 25, 'v1_3': 5, 'v2_2': 26, 'v1_4': 3, 'v2_3': 15, 'v1_5': 2, 'v2_4': 16, 'v1_6': 8, 'v2_5': 16, 'v1_7': 6, 'v2_6': 26, 'v1_8': 10, 'v2_7': 20, 'v1_9': 14, 'v2_8': 23, 'v2_9': 25, 'v3_1': 24, 'v3_2': 26, 'v3_3': 14, 'v3_4': 14, 'v3_5': 21, 'v3_6': 1, 'v3_7': 1, 'v3_8': 24, 'v3_9': 20}","{3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 28, 23, 24, 26, 29, 30, 22, 21, 31, 32, 25, 38, 41, 39, 33, 40, 27, 42, 43, 34, 49, 36, 51, 52, 35, 2, 37, 44, 45, 46, 47, 48, 50}","{'z': ['v1_1', 'v1_2', 'v1_3', 'v1_4', 'v1_5', 'v1_6', 'v1_7', 'v1_8', 'v1_9'], 'v1_1': ['z', 'v1_2', 'v2_1'], 'v1_2': ['v1_1', 'z', 'v1_3', 'v2_2'], 'v2_1': ['v1_1', 'v2_2', 'v3_1'], 'v1_3': ['v1_2', 'z', 'v1_4', 'v2_3'], 'v2_2': ['v1_2', 'v2_1', 'v2_3', 'v3_2'], 'v1_4': ['v1_3', 'z', 'v1_5', 'v2_4'], 'v2_3': ['v1_3', 'v2_2', 'v2_4', 'v3_3'], 'v1_5': ['v1_4', 'z', 'v1_6', 'v2_5'], 'v2_4': ['v1_4', 'v2_3', 'v2_5', 'v3_4'], 'v1_6': ['v1_5', 'z', 'v1_7', 'v2_6'], 'v2_5': ['v1_5', 'v2_4', 'v2_6', 'v3_5'], 'v1_7': ['v1_6', 'z', 'v1_8', 'v2_7'], 'v2_6': ['v1_6', 'v2_5', 'v2_7', 'v3_6'], 'v1_8': ['v1_7', 'z', 'v1_9', 'v2_8'], 'v2_7': ['v1_7', 'v2_6', 'v2_8', 'v3_7'], 'v1_9': ['v1_8', 'z', 'v2_9'], 'v2_8': ['v1_8', 'v2_7', 'v2_9', 'v3_8'], 'v2_9': ['v1_9', 'v2_8', 'v3_9'], 'v3_1': ['v2_1', 'v3_2'], 'v3_2': ['v2_2', 'v3_1', 'v3_3'], 'v3_3': ['v2_3', 'v3_2', 'v3_4'], 'v3_4': ['v2_4', 'v3_3', 'v3_5'], 'v3_5': ['v2_5', 'v3_4', 'v3_6'], 'v3_6': ['v2_6', 'v3_5', 'v3_7'], 'v3_7': ['v2_7', 'v3_6', 'v3_8'], 'v3_8': ['v2_8', 'v3_7', 'v3_9'], 'v3_9': ['v2_9', 'v3_8']}"
5,10,"{'z': 1, 'v1_1': 11, 'v1_2': 12, 'v2_1': 27, 'v1_3': 5, 'v2_2': 24, 'v1_4': 3, 'v2_3': 16, 'v1_5': 2, 'v2_4': 17, 'v1_6': 8, 'v2_5': 17, 'v1_7': 6, 'v2_6': 18, 'v1_8': 10, 'v2_7': 19, 'v1_9': 14, 'v2_8': 29, 'v1_10': 17, 'v2_9': 29, 'v2_10': 28, 'v3_1': 25, 'v3_2': 29, 'v3_3': 12, 'v3_4': 15, 'v3_5': 27, 'v3_6': 28, 'v3_7': 28, 'v3_8': 21, 'v3_9': 1, 'v3_10': 1}","{3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 36, 23, 24, 25, 26, 2, 30, 56, 55, 31, 53, 33, 34, 35, 37, 29, 39, 43, 41, 40, 27, 42, 32, 44, 45, 46, 47, 48, 58, 54, 52, 57, 28, 38, 51, 22, 49, 50}","{'z': ['v1_1', 'v1_2', 'v1_3', 'v1_4', 'v1_5', 'v1_6', 'v1_7', 'v1_8', 'v1_9', 'v1_10'], 'v1_1': ['z', 'v1_2', 'v2_1'], 'v1_2': ['v1_1', 'z', 'v1_3', 'v2_2'], 'v2_1': ['v1_1', 'v2_2', 'v3_1'], 'v1_3': ['v1_2', 'z', 'v1_4', 'v2_3'], 'v2_2': ['v1_2', 'v2_1', 'v2_3', 'v3_2'], 'v1_4': ['v1_3', 'z', 'v1_5', 'v2_4'], 'v2_3': ['v1_3', 'v2_2', 'v2_4', 'v3_3'], 'v1_5': ['v1_4', 'z', 'v1_6', 'v2_5'], 'v2_4': ['v1_4', 'v2_3', 'v2_5', 'v3_4'], 'v1_6': ['v1_5', 'z', 'v1_7', 'v2_6'], 'v2_5': ['v1_5', 'v2_4', 'v2_6', 'v3_5'], 'v1_7': ['v1_6', 'z', 'v1_8', 'v2_7'], 'v2_6': ['v1_6', 'v2_5', 'v2_7', 'v3_6'], 'v1_8': ['v1_7', 'z', 'v1_9', 'v2_8'], 'v2_7': ['v1_7', 'v2_6', 'v2_8', 'v3_7'], 'v1_9': ['v1_8', 'z', 'v1_10', 'v2_9'], 'v2_8': ['v1_8', 'v2_7', 'v2_9', 'v3_8'], 'v1_10': ['v1_9', 'z', 'v2_10'], 'v2_9': ['v1_9', 'v2_8', 'v2_10', 'v3_9'], 'v2_10': ['v1_10', 'v2_9', 'v3_10'], 'v3_1': ['v2_1', 'v3_2'], 'v3_2': ['v2_2', 'v3_1', 'v3_3'], 'v3_3': ['v2_3', 'v3_2', 'v3_4'], 'v3_4': ['v2_4', 'v3_3', 'v3_5'], 'v3_5': ['v2_5', 'v3_4', 'v3_6'], 'v3_6': ['v2_6', 'v3_5', 'v3_7'], 'v3_7': ['v2_7', 'v3_6', 'v3_8'], 'v3_8': ['v2_8', 'v3_7', 'v3_9'], 'v3_9': ['v2_9', 'v3_8', 'v3_10'], 'v3_10': ['v2_10', 'v3_9']}"
